City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nanortalik,GL,60.1432,-45.2371,20.44,75,0,3.09
1,Saint-Philippe,RE,-21.3585,55.7679,78.8,65,0,4.61
2,Qaanaaq,GL,77.484,-69.3632,-8.28,75,100,8.39
3,Severodvinsk,RU,64.5635,39.8302,1.4,66,75,11.18
4,Ostrovnoy,RU,68.0531,39.5131,12.63,91,100,12.33
5,Marathon,US,44.9,-89.7668,9.0,66,90,17.27
6,Coihaique,CL,-45.5752,-72.0662,84.2,32,0,6.91
7,Talitsa,RU,56.8804,60.0213,35.6,93,0,8.95
8,Georgetown,MY,5.4112,100.3354,78.8,78,20,3.44
9,Khuzdar,PK,27.7384,66.6434,47.59,40,0,2.71
10,Mahebourg,MU,-20.4081,57.7,78.8,78,40,6.91
11,Nizwa,OM,22.9333,57.5333,54.72,60,0,1.05
12,Ushuaia,AR,-54.8,-68.3,48.2,71,40,28.77
13,Miandrivazo,MG,-19.5167,45.4667,78.85,83,100,3.85
14,Nguruka,TZ,-5.1092,31.0419,67.39,91,100,2.3
15,Kumasi,GH,6.6885,-1.6244,80.58,71,69,6.87
16,Khorixas,NA,-20.3667,14.9667,74.68,50,59,8.14
17,Tarauaca,BR,-8.1614,-70.7656,76.46,95,96,4.65
18,Hambantota,LK,6.1241,81.1185,77.56,75,100,14.72
19,Hermanus,ZA,-34.4187,19.2345,68.0,85,6,1.01
20,Bereda,ES,43.2686,-7.5406,48.0,100,100,11.99
21,Vestmannaeyjar,IS,63.4427,-20.2734,41.13,68,95,27.74
22,Hithadhoo,MV,-0.6,73.0833,82.42,77,96,11.3
23,Rutland,US,43.6167,-73.0162,37.4,87,90,6.91
24,Husavik,IS,66.0449,-17.3389,23.0,80,0,4.61
25,Jamestown,US,42.097,-79.2353,27.0,68,90,17.27
26,Theunissen,ZA,-28.411,26.7011,69.06,70,20,9.66
27,Iqaluit,CA,63.7506,-68.5145,23.0,80,75,26.46
28,Turukhansk,RU,65.8167,87.9833,-25.65,86,100,5.55
29,Chuy,UY,-33.6971,-53.4616,67.84,68,24,13.29
30,Thompson,CA,55.7435,-97.8558,-13.0,64,75,10.36
31,Bredasdorp,ZA,-34.5322,20.0403,68.0,83,15,3.44
