City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Saint-Philippe,RE,78.8,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
6,Coihaique,CL,84.2,-45.5752,-72.0662,Diego De Almagro Coyhaique
8,Georgetown,MY,78.8,5.4112,100.3354,Cititel Penang
10,Mahebourg,MU,78.8,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
13,Miandrivazo,MG,78.85,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
15,Kumasi,GH,80.58,6.6885,-1.6244,Okumah Hotels | Kumasi
17,Tarauaca,BR,76.46,-8.1614,-70.7656,Flat Temporada
18,Hambantota,LK,77.56,6.1241,81.1185,Bungalow 63
22,Hithadhoo,MV,82.42,-0.6,73.0833,Scoop Guest House
32,Touros,BR,80.6,-5.1989,-35.4608,INN NEW HORIZON
34,Concordia,AR,82.4,-31.393,-58.0209,Palmar Hotel Casino
35,Baiao,BR,86.18,-2.7906,-49.6717,Hotel Eurosono
39,Tipitapa,NI,89.6,12.1973,-86.0971,Hotel Entre Rios
40,Xuddur,SO,70.38,4.1213,43.8894,Banjanay Hotel
42,Koubia,GN,72.36,11.5833,-11.9,Hôtel Mbalou Koubia
44,Iquitos,PE,86.0,-3.7481,-73.2472,Cortez Malaga Techy Caroly
45,Cuenca,EC,71.6,-2.8833,-78.9833,Hotel Cuenca
46,Toamasina,MG,78.8,-18.1667,49.3833,Hotel H1
48,Salalah,OM,75.2,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
49,Kavaratti,IN,80.4,10.5669,72.642,Hotels in Lakshadweep Islands
58,Caravelas,BR,80.71,-17.7125,-39.2481,Pousada dos Navegantes
63,Inhambane,MZ,79.57,-23.865,35.3833,Oceano
66,Oussouye,SN,78.8,12.485,-16.5469,Auberge du Routard
68,Cabedelo,BR,84.2,-6.9811,-34.8339,Hotel Pigalle
70,Acari,PE,77.86,-15.4311,-74.6158,HOSPEDAJE XIMENA
73,Boende,CD,75.43,-0.2167,20.8667,
75,Guantanamo,CU,82.4,20.1444,-75.2092,Hotel Marti
76,Wajir,KE,84.58,1.7471,40.0573,Al-bustan Hotel And Restaurant.
80,Dhidhdhoo,MV,81.7,6.8833,73.1,Dhidhoo beach
82,Manjeshwar,IN,75.2,12.7194,74.8861,Baithul Hidaya
86,Kochi,IN,75.2,9.9399,76.2602,Trident Hotel Cochin
87,Chimbote,PE,74.5,-9.0853,-78.5783,Hotel Briliá
90,Makokou,GA,73.72,0.5738,12.8642,WAMY RESIDENCE HOTEL
98,Mitsamiouli,KM,82.81,-11.3847,43.2844,Foyer ADM
100,Dingle,PH,74.57,10.9995,122.6711,SEGAYA PROPERTY
101,Bandarbeyla,SO,73.85,9.4942,50.8122,JABIR HOTEL
102,Berbera,SO,73.62,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
103,Bengkulu,ID,75.88,-3.8004,102.2655,Grage Hotel Bengkulu
104,Tubuala,PA,90.0,9.5167,-79.0333,Río Nabagana
108,Kralendijk,BQ,82.4,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
110,Port-Gentil,GA,80.6,-0.7193,8.7815,Fengshui Residence
113,Tambacounda,SN,82.4,13.7539,-13.7586,
115,Cayenne,GF,77.0,4.9333,-52.3333,Hôtel Le Dronmi
116,Pampierstad,ZA,74.57,-27.7832,24.6877,BAROLONG METHODIST CHURCH
119,Anyama,CI,77.0,5.4946,-4.0518,Hotel la Residence des Hotes
121,Mogadishu,SO,76.41,2.0371,45.3438,Hotel Juba
122,Barranca,PE,74.14,-10.75,-77.7667,El Olivar Hospedaje
123,Kruisfontein,ZA,73.0,-34.0033,24.7314,Oyster Bay House Rental
127,Dzaoudzi,YT,80.6,-12.7887,45.2699,Le Rocher
128,Carnarvon,AU,80.6,-24.8667,113.6333,Hospitality Carnarvon
129,Castro,BR,71.98,-24.7911,-50.0119,CHACARA BAILLY
130,Ancud,CL,84.2,-41.8697,-73.8203,Hotel Arena Gruesa
131,Loandjili,CG,82.4,-4.7561,11.8578,Résidence ARCHANGE
133,Marawi,PH,72.0,7.9986,124.2928,Derogongan Residence
136,Mkuranga,TZ,80.6,-7.117999999999999,39.2078,Luminoso Lodge
142,Yambio,SS,76.21,4.5721,28.3955,Naivasha Hotel
145,Boueni,YT,80.6,-12.9025,45.0761,The feet in water
147,Ambilobe,MG,74.12,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
151,Micheweni,TZ,80.19,-4.9667,39.8333,
154,Vilhena,BR,73.4,-12.7406,-60.1458,Hotel Mirage
159,Mitu,CO,82.0,1.1983,-70.1733,
162,Takoradi,GH,80.06,4.8845,-1.7554,Raybow International Hotel
167,Mattru,SL,78.6,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
168,Souillac,MU,78.8,-20.5167,57.5167,Shanti Maurice Resort & Spa
169,Tacna,PE,73.4,-18.0056,-70.2483,Hotel Colón Inn
170,Maceio,BR,80.6,-9.6658,-35.7353,Hotel Ponta Verde Maceió
171,Giyani,ZA,73.69,-23.3025,30.7187,Kulani Country Lodge
179,Maunabo,PR,81.0,18.0072,-65.8993,Maunacaribe
180,Taoudenni,ML,83.05,22.6783,-3.9836,
