City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,51.8,62,75,8.05,AR,2021-02-04 01:25:53
1,Komsomolskiy,40.4272,71.7189,33.8,64,0,6.91,UZ,2021-02-04 01:25:53
2,Huaquillas,-3.4833,-80.2333,78.71,73,92,5.48,EC,2021-02-04 01:25:54
3,Lagoa,39.05,-27.9833,54.23,66,100,30.87,PT,2021-02-04 01:25:54
4,Mizdah,31.4451,12.9801,50.05,66,0,2.06,LY,2021-02-04 01:22:05
5,Koslan,63.4564,48.8989,5.07,94,100,4.97,RU,2021-02-04 01:25:54
6,Awbari,26.5921,12.7805,47.61,57,0,1.57,LY,2021-02-04 01:25:54
7,Hermanus,-34.4187,19.2345,60.01,93,67,1.01,ZA,2021-02-04 01:25:54
8,Pisco,-13.7,-76.2167,73.0,78,0,12.66,PE,2021-02-04 01:24:21
9,Husavik,66.0449,-17.3389,19.4,68,0,3.44,IS,2021-02-04 01:24:06
10,Tasiilaq,65.6145,-37.6368,23.76,95,100,14.36,GL,2021-02-04 01:25:55
11,Arroyo,41.6096,-4.7969,50.0,93,75,8.05,ES,2021-02-04 01:25:55
12,Tessalit,20.1986,1.0114,67.35,21,0,15.32,ML,2021-02-04 01:25:55
13,Qaqortoq,60.7167,-46.0333,12.2,57,98,4.61,GL,2021-02-04 01:25:55
14,Hamilton,39.1834,-84.5333,28.0,80,1,1.81,US,2021-02-04 01:25:55
15,Maridi,4.9158,29.4742,77.4,33,53,2.17,SS,2021-02-04 01:25:55
16,Longyearbyen,78.2186,15.6401,23.0,68,75,14.97,SJ,2021-02-04 01:21:21
17,Saint-Philippe,-21.3585,55.7679,77.0,69,0,5.75,RE,2021-02-04 01:25:56
18,Kemijarvi,66.7131,27.4306,17.76,96,99,9.53,FI,2021-02-04 01:25:56
19,Georgetown,5.4112,100.3354,80.01,69,20,4.61,MY,2021-02-04 01:21:23
20,Hithadhoo,-0.6,73.0833,82.71,73,100,9.08,MV,2021-02-04 01:25:56
21,Aksu,41.1231,80.2644,20.66,88,0,0.2,CN,2021-02-04 01:25:56
22,Bengkulu,-3.8004,102.2655,78.58,81,100,4.56,ID,2021-02-04 01:23:41
23,Luba,3.4568,8.5547,77.0,88,20,7.18,GQ,2021-02-04 01:25:56
24,Thompson,55.7435,-97.8558,-2.2,84,90,14.97,CA,2021-02-04 01:24:08
25,Derzhavinsk,51.1,66.3167,20.91,97,100,12.1,KZ,2021-02-04 01:25:57
26,Saint-Joseph,-21.3667,55.6167,77.0,69,0,5.75,RE,2021-02-04 01:25:57
27,Bitkine,11.9801,18.2138,69.94,21,0,9.33,TD,2021-02-04 01:25:57
28,Beloha,-25.1667,45.05,75.31,73,6,9.08,MG,2021-02-04 01:25:58
29,Klatovy,49.3955,13.2951,46.4,87,90,14.97,CZ,2021-02-04 01:25:58
30,Klaksvik,62.2266,-6.589,33.8,86,40,14.97,FO,2021-02-04 01:25:58
31,Tavda,58.0425,65.2726,0.86,93,33,5.44,RU,2021-02-04 01:25:58
32,Mahebourg,-20.4081,57.7,78.8,83,40,3.44,MU,2021-02-04 01:25:58
33,Bredasdorp,-34.5322,20.0403,60.8,88,11,4.61,ZA,2021-02-04 01:25:58
34,Victoria,22.2855,114.1577,66.0,63,0,1.01,HK,2021-02-04 01:21:30
35,Dikson,73.5069,80.5464,-10.64,91,90,11.43,RU,2021-02-04 01:25:59
36,Araouane,18.9048,-3.5265,71.28,20,20,7.87,ML,2021-02-04 01:25:59
37,Oktyabrskiy,54.4815,53.471,22.93,98,100,3.76,RU,2021-02-04 01:25:59
38,Qaanaaq,77.484,-69.3632,-21.95,65,0,4.76,GL,2021-02-04 01:25:59
39,Altamira,-3.2033,-52.2064,77.22,71,6,2.93,BR,2021-02-04 01:25:12
40,Mitu,1.1983,-70.1733,73.94,95,98,2.21,CO,2021-02-04 01:26:00
41,Torbay,47.6666,-52.7314,48.2,100,90,19.57,CA,2021-02-04 01:26:00
42,Teguise,29.0605,-13.564,62.6,72,75,8.05,ES,2021-02-04 01:26:00
43,Maues,-3.3836,-57.7186,78.35,87,100,0.96,BR,2021-02-04 01:24:34
44,Cap-Aux-Meules,47.3821,-61.8597,33.8,100,55,9.22,CA,2021-02-04 01:21:31
45,Jaque,7.5175,-78.1703,79.81,75,2,9.42,PA,2021-02-04 01:26:00
46,Qandala,11.472,49.8728,70.39,53,9,6.89,SO,2021-02-04 01:26:01
47,Union,40.6334,-74.2663,33.8,64,90,11.5,US,2021-02-04 01:26:01
48,Inverness,57.4791,-4.224,35.01,86,40,11.5,GB,2021-02-04 01:26:01
49,Paldiski,59.3567,24.0531,18.0,86,90,9.22,EE,2021-02-04 01:26:01
50,Lafiagi,8.8667,5.4167,79.05,17,19,2.95,NG,2021-02-04 01:26:01
51,Iqaluit,63.7506,-68.5145,-4.0,71,90,3.44,CA,2021-02-04 01:26:02
52,Siguiri,11.6667,-9.5,70.68,20,0,1.43,GN,2021-02-04 01:26:02
53,Lucapa,-8.4192,20.7447,64.81,97,100,2.84,AO,2021-02-04 01:26:02
54,Coihaique,-45.5752,-72.0662,71.6,56,0,3.44,CL,2021-02-04 01:26:02
55,Chapais,49.7834,-74.8492,19.4,53,75,10.36,CA,2021-02-04 01:26:03
56,Itaperucu,-25.22,-49.3478,73.99,94,75,5.75,BR,2021-02-04 01:26:03
57,Caravelas,-17.7125,-39.2481,76.12,87,2,5.73,BR,2021-02-04 01:26:03
58,Nioro,13.35,-15.75,71.78,27,90,4.7,GM,2021-02-04 01:26:03
59,Saint-Pierre,-21.3393,55.4781,77.0,69,0,5.75,RE,2021-02-04 01:26:03
60,Iranshahr,27.2025,60.6848,53.6,22,0,9.22,IR,2021-02-04 01:26:03
61,Jamestown,42.097,-79.2353,23.0,93,1,8.05,US,2021-02-04 01:22:08
62,Vardo,70.3705,31.1107,29.16,94,100,21.97,NO,2021-02-04 01:23:47
63,Chipiona,36.7366,-6.437,59.0,88,90,5.75,ES,2021-02-04 01:26:04
64,Stykkisholmur,65.0757,-22.7297,30.69,90,100,10.58,IS,2021-02-04 01:26:04
